name,tags,alcohol,id,brewery_id,brewery_Name,image,Total Quantity,Remaining Quantity,Price
Naked Ladies,high fermentation,4.4,1089,63,Brouwerij Alvinne,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Floreffe Wit-Bier,"white, abbey",4.5,570,147,Brouwerij Lefebvre,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Broeder Jacob Bruin,brown,7.5,268,150,Brasserie du Bocq for Broeder Jacob bvba,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Kapel van Viven Blond,blonde,6.8,794,263,De Proefbrouwerij for Beerdevelopment Viven,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Hervoise,high fermentation,8.2,710,329,Brasserie Grain d'Orge,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vieux Bruxelles Kriek,label beer,4,1629,106,Brouwerij Van Honsebrouck,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vingeronne,"fruit beer, lambic",6,1631,170,Brasserie Cantillon,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
t Gaverhopke Blondje,high fermentation,6.8,1478,79,Brouwerij 't Gaverhopke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ceci n'est pas une triple,triple,8,345,96,t Hofbrouwerijke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Lam Gods,brown double,6.8,937,140,Brouwerij Van Steenberge for Brouwerij Paeleman,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bière de Garde,"organic, red brown",10,170,41,Brouwerij Jessenhofke by De Proefbrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vanderghinste oud bruin,West-flemish red brown,5.5,1608,24,Brouwerij Bockor,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vapeur cochonne,belgian ale,9,1609,132,Brasserie à Vapeur,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Johannes,local,6.5,775,343,Brouwerij De Graal for bierfirma Johannes,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Oude Gueuze Hanssens,geuze,6,1147,48,Hanssens Artisanaal,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Florilège d’Hibiscus,"fruit beer, flower beer",9,574,66,Brasserie d'Ecaussinnes,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Golding Campina,pils,4.8,638,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Gouden Carolus Hopsinjoor,blonde special,8,657,161,Brouwerij Het Anker,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Steendonk,white,4.5,1444,3,Brouwerij Duvel Moortgat,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Steenuilke,high fermentation,6.5,1445,325,Brouwerij De Rijck,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Druïde Blond,light blonde,6.5,509,327,De Proefbrouwerij for Brouwerij Druïde,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Festina Lente,dark brown,7,562,63,Brouwerij Alvinne,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Beersel Blond,blonde,7,127,195,Geuzestekerij 3 Fonteinen,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Beersel Lager,pils,5.2,128,195,Geuzestekerij 3 Fonteinen,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bel Pils,pils,5,129,3,Brouwerij Duvel Moortgat,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Belval,blonde,4.8,156,352,Gageleer,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Griboval,high fermentation,6.5,669,126,Brouwerij Van Den Bossche for Scouts Moen 50 jaar (2011),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Troufette Rousse,high fermentation,7.8,931,222,Brasserie de Bastogne,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mariënrode Quadruple,brown,12,1025,145,Brouwerij Anders for Halen Breweries,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Robustus,quadruple,10,1281,282,Brouwerij Het Gulden Spoor,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
t Zelfde,blonde,4,1504,155,Brouwerij Bosteels,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Kasteelbier Bruin,brown,11,811,106,Brouwerij Van Honsebrouck,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ferre,quadruple,10,561,104,Brouwerij Maenhout by Brouwerij Gulden Spoor,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Armand’4 Lente,old geuze,6,86,195,Geuzestekerij 3 Fonteinen,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Winterkoninkske,high fermentation,8.3,1685,305,Brouwerij Sint-Jozef for brouwerij Kerkom,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Prima Leroy,table beer,3.3,1247,257,Brouwerij Het Sas,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Li P'tite Gayoûle,saison,5.5,966,357,Brouwerij De Ranke for NovaBirra,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Felix Oud Bruin,brown,5.2,557,86,Brouwerij Verhaeghe for Brouwerij Clarysse (bierfirma),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Martens Pils,pils,5,1029,311,Brouwerij Martens (Bocholt),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Triple de Brabant,"triple, blonde",8.5,1559,91,Group John Martin,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Triple Moine,triple,7.3,1560,70,Brasserie Du Bocq,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Fort Lapin 8,triple,8,598,322,Brouwerij Fort Lapin,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mort Subite Original Kriek,fruit beer,4.5,1069,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mort Subite Framboise,fruit beer,5,1065,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bierbeekse,"blonde-amber, high fermentation",7.3,166,108,Brouwerij Van Steenberge for de gemeente Bierbeek en Terclavers,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Belgian Kriek,fruit beer,3.5,132,242,Brasserie Lefebvre,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
St. Louis Peche,fruit beer,3.5,1427,106,Brouwerij Van Honsebrouck,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Rousse de Brabant,koper-amber,5.2,1300,91,Group John Martin,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Terracotta,blonde,7,1513,190,Brouwerij De Regenboog,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Blanche d'Ardenne,white,4.3,202,228,Brasserie du Bocq for Corsendonk nv,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Modeste Tripel,"triple, organic",8.4,1043,360,Brouwerij Strubbe for BioFresh,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Santa Bee,brown christmas,8.5,1327,193,Brouwerij Boelens,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Reinaert Blond,amber,7,1271,133,De Proefbrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
